時間,Group1_Production_包装機(産業機械)_#06,Group1_Production_包装機(産業機械)_#16,Group2_Production_産業機械_#04,Group2_Production_産業機械_#05,Group2_Production_産業機械_#08,Group2_Production_産業機械_#11,Group2_Production_産業機械_#13,Group3_Production_成形機(産業機械)_#02,Group4_Production_産業機械_#03,Group4_Production_産業機械_#09,Group4_Production_産業機械_#12,Group5_Production_産業機械_#14,Group6_Production_産業機械_#01,Group7_Production_産業機械_#07,Group8_Production_産業機械_#15,Group9_Production_産業機械_#10,
08:58,683.1999999999999,0,2179.4,1021.8,1229.2,1006.8,1519.2,1862.6000000000001,2257.6,2120,341,713.8,266.59999999999997,25.2,26.6,1.7999999999999998,
08:59,785.4,0.8,2318.4,1091.8,1257,999.2,1615.6,1885.2,2377.6,2217.8,296.6,802.6,328.6,23.200000000000003,32.2,0,
09:00,765.8000000000001,0.6,2398.8,1137,1330.2,1022.0000000000001,1667.3999999999999,2074.6,2432.6,2207.4,311.6,788.1999999999999,374.6,35.6,28.999999999999996,0,
09:01,586.8000000000001,0,2063.4,965,1114.2,991.8,1287.4,1716.1999999999998,2203.6000000000004,2012.6000000000001,302,740,120,64.4,49.6,5,
09:02,462.8,0,1942.6,878.9999999999999,1086.2,937.8,1291.8,1674.2,2174.6,2002,306,729.8,31.6,55.60000000000001,57.199999999999996,5.6000000000000005,
09:03,397,0,2038.4,899.4,1168.2,955.4,1393.2,1855.8,2195.7999999999997,2000.4,313,693.2,64.60000000000001,85.2,50.2,2,
09:04,538.6,0,2105.6,995.5999999999999,1275.2,911.5999999999999,1476,1985.6000000000001,2189.8,1956.4,325.4,634.6,204,62.6,46.6,4.8,
09:05,657.4,0,2347.8,1073,1332.4,1035.8,1609,2148.2,2410.2,2174.4,355.6,739.8,317.2,48,32,2.4,
09:06,539,0,2213.2000000000003,971.1999999999999,1228,999.2,1513.4,2019.8,2395.4,2135.6000000000004,349.2,750.4,246,29.2,29.799999999999997,5.6000000000000005,
09:07,749.8000000000001,0.2,2411.2,1126.8000000000002,1347.4,1052.8,1668,2181,2501.2,2189.3999999999996,354.59999999999997,780.1999999999999,417.40000000000003,21.4,10.4,0,
09:08,644,0,2175.4,1010.2,1265.4,984.6,1493.8,2021.3999999999999,2272.8,2054.7999999999997,344.4,688.4000000000001,274.40000000000003,44,32.2,2.4,
09:09,795.6,0,2334.4,1158.2,1357.8,1077.6,1622.2,2088.4,2422,2201.6,335.8,733.1999999999999,404.6,28.199999999999996,18.8,1.6,
09:10,610.2,0,2222.2000000000003,1047.4,1289.2,1011.2,1516,2038.2,2296,2067.6,326.79999999999995,702.2,277.2,53,32.4,0.2,
09:11,499,0,2005.8,906,1177.8,949,1321.8,1836.4,2138.6,1997.4,343,646,145,51.6,46.800000000000004,9,
09:12,496,0,2079,946.0000000000001,1222.2,967.2,1425.2,1920.4,2235,2017.6,319.6,686.4,163.39999999999998,73.4,39.800000000000004,5.800000000000001,
09:13,543.4,0,2241.4,1014.8,1299,965,1565,1999.8000000000002,2353.6000000000004,2144.8,274,767.6,210,57.4,44.6,1.2,
09:14,492.40000000000003,0,2450.2,1112,1349.4,1057,1628.6000000000001,2185.2,2550.6,2212.6,276,842,232.20000000000002,64,45.800000000000004,0.2,
09:15,645,0,2290.4,1056.8,1335.8,1054.6,1572,2111.2,2380.3999999999996,2125.4,330,715.4,262.2,68.2,35.6,0,
09:16,658,0,2359.6,1105.8,1370.4,975.4,1596.4,2290.6,2392.4,2082.7999999999997,311.8,730.4,357.8,57.4,38.4,0,
09:17,639.2,0,2254.6,1049.6000000000001,1335.6,957.8,1543.2,2145.4,2320.2000000000003,2058.6,296.8,699.8000000000001,323.6,64.2,29.599999999999998,0,
09:18,596.8,0,2326.2,1071,1298.1999999999998,1074.4,1588.6,1993.6,2401.6,2218,286.6,839.6000000000001,257.8,60.6,37.8,2.6,
09:19,512.2,0,2182,1032.6000000000001,1218.3999999999999,992.6,1436.6,1894.2,2346.3999999999996,2083.8,294,790.4,167.4,54.2,39.4,7.000000000000001,
09:20,576,0,2117.4,1069.6,1278.8,931.4,1437.2,1762.6000000000001,2255.8,2085.4,268.8,769.4,227.59999999999997,28.799999999999997,38.800000000000004,18.2,
09:21,354.59999999999997,0,1986.4,890.4,1128.8,869.4000000000001,1322.6000000000001,1836.6,2240.2000000000003,1971.8,283.59999999999997,733.4,60,58.8,54.400000000000006,6,
09:22,416.2,0,1949.6,858,1148.4,870.4000000000001,1296,1740.4,2197.8,2025,280,703.4,19.400000000000002,64.2,58.4,5.6000000000000005,
09:23,235,0,1490.4,663,995.4000000000001,699.2,966.2,1538,1808.2,1652,398.20000000000005,703.2,22,256.59999999999997,168.4,61.8,
09:24,390,0,1626.2,736.8000000000001,1031.6000000000001,782.8000000000001,1097,1331.8,1897.4,1870.2000000000003,258.59999999999997,675.8,11,57.599999999999994,35.199999999999996,22.400000000000002,
09:25,355,0,1604.4,763.4000000000001,1094.6,785.6,1088.8,1405.2,1850,1798.4,266.8,623.4,16.2,83.6,40.6,20.599999999999998,
09:26,376.2,0,1734.4,725.8,1054.6,769,1204.6,1558.3999999999999,1916.4,1856.6,292.8,597,55.60000000000001,64,45.6,9.8,
09:27,587.8,0,2005,904.1999999999999,1180.2,907.1999999999999,1417.3999999999999,1669.8,2154,2074.2000000000003,283.8,701.6,130.20000000000002,58.4,38.4,6,
09:28,618.8,0,2145,979.8,1252.3999999999999,960.3999999999999,1524.8,1875.1999999999998,2214.8,2078.8,316.2,690.8000000000001,232.79999999999998,64.8,29.4,0.2,
09:29,768.8,0,2359.6,1119,1371.6,1085,1666.4,2086.2,2444.2,2209,343.2,746.8,365.4,47.4,17,0.6,
09:30,739.2,0,2213.4,1032,1263.4,934.6,1579.8,1916.1999999999998,2248.8,2137,339,700.6,327,36.4,24.6,3,
09:31,823.4,0.2,2389.2,1131.6000000000001,1387,1065,1714.9999999999998,1972.2,2416,2329.6,320,781.6,327,58.599999999999994,24,0.4,
09:32,582.8000000000001,0,2335.8,1045.2,1257.1999999999998,990.6,1616.6000000000001,1980.8,2464,2214.8,293,862.2,204.8,43.8,46.2,1.2,
09:33,765.6,0.8,2452,1174.4,1325.2,1092.2,1673,1868.6,2530.6,2413.4,262,926.6,256.8,29.2,42.199999999999996,0.2,
09:34,681.4,0.6,2318.2,1100.6,1211,1013.1999999999999,1583.6000000000001,1708.6,2380.8,2275.7999999999997,261.8,887.2,199,23,42.199999999999996,3.4000000000000004,
09:35,818.2,0.6,2360.2,1135.6,1335.2,1087.2,1669.8,1927,2454.7999999999997,2327,314.8,800.8,327.59999999999997,52.2,16,2.8000000000000003,
09:36,659.8,0,2175.6,1017.2,1241,1000.6,1517.3999999999999,1832,2252.7999999999997,2145,313.8,732.2,209.79999999999998,48.8,34,6.6000000000000005,
09:37,693.4,0,2202.7999999999997,1019.6,1228.2,979.8,1461.4,1861.1999999999998,2367.4,2199.2000000000003,321.4,770.2,221.4,20.200000000000003,41.199999999999996,6.2,
09:38,581.4,0,1958.6,883.6,1134.3999999999999,971.0000000000001,1358.6000000000001,1572,2221.6,2189.3999999999996,306.4,734.1999999999999,60.4,32,36.4,15.4,
09:39,528.4,0,1996.2,888.1999999999999,1142.2,949.4,1351.3999999999999,1621,2214.2,2134,302.4,723.8000000000001,48.6,47,51.800000000000004,5.4,
09:40,548.2,0,1925,841.8,1091.6000000000001,894.2,1328.8,1557,2110.6000000000004,2069.6000000000004,306.2,677,44.6,38.4,52.2,6.6000000000000005,
09:41,477.20000000000005,0,2028.8,898.1999999999999,1179.8,925.2,1383.6000000000001,1732.8,2218.2,2086.2,294.20000000000005,708.4,68.4,54,54.400000000000006,3.4000000000000004,
09:42,520,0,1960.8,856.6,1154.2,858.6,1343.6,1679.4,2156,2048.2,280.2,673.6,78,52.2,54.400000000000006,1.4000000000000001,
09:43,522.2,0,1935.2,833.8,1109.2,838.0000000000001,1301.2,1645.2000000000003,2104.7999999999997,2015.2,280.6,665,82,63.2,50.2,2.1999999999999997,
09:44,589.4,0,2036.1999999999998,900.6,1099.8,868.6,1379.6,1664.3999999999999,2214.6,2100.2,283.59999999999997,750.1999999999999,146.4,15.8,45.6,0.4,
09:45,639,0,2061,944.2,1123.6000000000001,908.8,1380,1633.2,2189.2,2119.8,288.8,761.2,156.4,11.600000000000001,41.199999999999996,3.2,
09:46,562.4,0,2097.2000000000003,950.8,1148.6000000000001,936.4000000000001,1425.8,1716.4,2245.6,2098,276.4,801,150,30,43.2,2.8000000000000003,
09:47,741.6,0.4,2298,1090.4,1270.4,1048.6000000000001,1614.2,1893.8,2365.2000000000003,2201.2,320.40000000000003,793.2,302,16.2,21.6,3,
09:48,669.6,0,2294,1098.1999999999998,1284.2,984.2,1548.1999999999998,2084.4,2376.8,2090,303.6,780.4,298.6,39.800000000000004,35.4,0,
09:49,656,0.4,2430.3999999999996,1152.8,1364.8,991.2,1688.4,2218.7999999999997,2408.2000000000003,2093.7999999999997,280.6,795.4,412.8,33.800000000000004,32.2,0,
09:50,338.8,0,2125.4,902,1118.3999999999999,961.2,1358,1943.4,2385.2,2035.8,279,855.5999999999999,144.2,41.6,55.60000000000001,17.599999999999998,
09:51,444.4,0,2116.6,982.4,1166.3999999999999,935,1370,1832.8,2228,1993.8,262.2,777.8,144.2,59.8,52.2,2,
09:52,593.4,0,2304.6,1047.6000000000001,1306.2,983.6,1550.6,2121.6,2368.6,2093.4,306.59999999999997,732,310.40000000000003,44.2,32,0,
09:53,558.4,0,2384,1110.6,1275.6,1070.4,1551.3999999999999,2023,2503.8,2236.7999999999997,298.20000000000005,860.3999999999999,240.20000000000002,28.000000000000004,43,2,
09:54,525.1999999999999,0,2349,1068.6,1286.8,997.0000000000001,1571.8,2087.4,2456.2000000000003,2120.2000000000003,303.4,781.6,266,52.800000000000004,33.2,1.6,
