時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
16:45,16.8,0.2,11.200000000000001,15.2,0,73.8,0,0,0,1,0,13.4,0,0.8,25.4,0,
16:46,16.8,0.2,11.200000000000001,14.399999999999999,0,73.6,0,0,0,1,0,13.4,0,1.7999999999999998,25.2,0,
16:47,17.2,0.4,11.4,15,0.2,73.2,0,0,0,1.2,0,13.600000000000001,0,1,26,0,
16:48,17.4,0.2,11,15.2,0,73.6,0,0,0,1.2,0,14.000000000000002,0,0.6,25,0,
16:49,16.8,0.4,11.799999999999999,15,0,74.8,0,0,0,1,0,13.4,0,1.2,26,0,
16:50,17,0.2,11,15,0,74.2,0,0,0,1,0,14.000000000000002,0,1,24.6,0,
16:51,16.6,0.4,11,14.2,0.2,74.4,0,0,0,1.2,0,13.4,0,1.7999999999999998,25.8,0,
16:52,17,0.2,10.6,14.6,0.2,72.6,0,0,0,1,0,13.600000000000001,0,1.4000000000000001,24.6,0,
16:53,17,0.2,10.6,14.399999999999999,0.2,73.4,0,0,0,1,0,14.000000000000002,0,1.6,24,0,
16:54,16.400000000000002,0,11.200000000000001,14.2,0,74,0,0,0,0.8,0,13.4,0,2.6,24.8,0,
16:55,16.6,0.2,10.6,14.399999999999999,0,73.8,0,0,0,0.8,0,13.600000000000001,0,2.4,24.4,0,
16:56,16.6,0.4,10.8,14.799999999999999,0,74.6,0,0,0,1,0,13.4,0,1.6,25.4,0,
16:57,13.200000000000001,1,33.2,53,28.4,106.80000000000001,22.400000000000002,35.199999999999996,36.199999999999996,8.6,14.799999999999999,18.2,7.000000000000001,6.800000000000001,36.4,0,
16:58,13.4,0.8,108.4,159.20000000000002,120,210.4,118,149.6,170.6,27,55.400000000000006,37.8,28.799999999999997,28.4,68,3.2,
16:59,23.799999999999997,1.4000000000000001,271.6,334.2,324.40000000000003,390.2,324.40000000000003,408.6,417,60,111.00000000000001,68.8,83.8,40.2,105.80000000000001,17.599999999999998,
17:00,21,1,267.4,343.40000000000003,322.8,387,315.2,394,443,62,100,68.60000000000001,86,51.4,107.60000000000001,16.6,
17:01,23,0.8,270,332.8,328.79999999999995,392.4,324.2,403.4,428.8,60,107.2,69.6,85.39999999999999,56.39999999999999,103.60000000000001,17.8,
17:02,25.6,2.1999999999999997,274.40000000000003,356.59999999999997,320.40000000000003,403.8,328.4,390.8,419.4,59,119.6,72.8,78,33.2,111.80000000000001,17.599999999999998,
17:03,17.4,0.2,231,305,285.8,366.40000000000003,275.4,355.6,373.4,60.8,110.00000000000001,72,61.8,59,100.6,14.000000000000002,
17:04,11.799999999999999,0,129,228.6,148,286.8,152.6,206.6,202.99999999999997,40,106,49,24.6,39,80.80000000000001,8,
17:05,10.4,0,135.20000000000002,229.99999999999997,156.4,276.2,149.4,209.79999999999998,221,42.6,95.19999999999999,47.199999999999996,29.599999999999998,42.6,83.39999999999999,7.6,
